0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:43 -0500] "GET /sdsr/images/top_line.gif HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:43 -0500] "GET /sdsr/images/menu_bg.png HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:43 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:55:43 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/index.jsp HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/js/jquery-1.6.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/js/cufon-yui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/js/cufon-replace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/js/Forum_400.font.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/js/atooltip.jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/images/icon_1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/images/icon_3.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/images/icon_2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/images/bg_bot.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/images/bg_top.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/images/restaurant.jpg HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/images/top_line.gif HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/images/menu_bg.png HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /sdsr/images/box_bg.png HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [17/Jul/2014:16:02:02 -0500] "GET /favicon.ico HTTP/1.1" 404 983
